FFMC,BUI,WSV,WindDir,FWIBin,Season,Ecoregion
85.95163426,3.3791279,1.73,287,1,Spring,All
85.62260134,0.766661323,2.07,45,1,Spring,All
86.08012074,0.337439501,4.73,232,1,Spring,All
87.49338933,0.911224648,1.58,252,1,Spring,All
89.07148026,1.877108817,6.12,73,1,Spring,All
89.89991674,3.133196568,3.11,239,1,Spring,All
91.12576741,5.020682001,2.18,192,1,Spring,All
92.06697101,7.391248201,2.05,112,1,Spring,All
92.1170109,9.718753103,2.52,66,1,Spring,All
92.16706731,11.68637098,1.42,230,1,Spring,All
92.21714024,13.79180293,1.51,221,1,Spring,All
93.15396981,16.26445705,3.37,226,1,Spring,All
93.34481824,18.86793563,2.18,280,1,Spring,All
92.53486789,13.39748832,1.88,337,1,Spring,All
91.95891994,13.13360281,2.18,160,1,Spring,All
91.95814362,14.16722818,1.16,280,1,Spring,All
92.00814757,15.36572975,0.72,66,1,Spring,All
91.52062694,16.7583284,5.55,215,1,Spring,All
91.54449634,18.64268932,1.73,229,1,Spring,All
91.49973401,20.2726821,0.93,264,1,Spring,All
91.54958663,21.77950246,1.75,240,1,Spring,All
92.28297977,23.72061329,3.71,49,1,Spring,All
92.82367956,25.98277971,4.04,216,1,Spring,All
93.75576826,28.78343203,6.13,40,1,Spring,All
94.79292744,31.65737378,3.66,236,1,Spring,All
94.84386731,34.67779137,4.25,239,1,Spring,All
94.89482399,38.05527251,1.86,90,1,Spring,All
94.49646686,41.10351593,2.65,272,1,Spring,All
93.42847909,43.36261116,4.45,85,1,Spring,All
92.96902007,45.71398314,1.36,196,1,Spring,All
92.91086143,48.34709465,2.18,355,1,Spring,All
92.8896503,51.26770893,4.08,285,1,Spring,All
92.83443214,54.08420484,2.42,228,1,Spring,All
92.88472541,56.87010034,1.77,244,1,Spring,All
92.93503528,60.02692506,2.8,218,1,Spring,All
92.98536176,62.88510614,4.42,267,1,Spring,All
89.91501441,31.73040099,3.33,59,1,Spring,All
89.96434383,22.65196003,2.81,273,1,Spring,All
90.78836484,24.43680985,2.14,268,1,Spring,All
92.47931279,26.57108208,1.88,30,1,Spring,All
93.99395093,29.26957074,2.37,196,1,Spring,All
94.04462702,32.03424438,3.17,336,1,Summer,All
93.666308,34.10438889,3.61,241,1,Summer,All
93.66429886,35.94161002,4.62,222,1,Summer,All
93.75999886,38.06805658,2.45,211,1,Summer,All
94.82135398,40.61086607,2.42,227,1,Summer,All
95.40568717,43.60774386,2.25,206,1,Summer,All
95.43203362,46.39984196,2.37,236,1,Summer,All
95.44698045,49.77270183,2.18,236,1,Summer,All
95.49813625,53.30368706,3.91,325,1,Summer,All
95.54930894,57.49477441,1.88,214,1,Summer,All
95.4484707,61.18071839,2.55,243,1,Summer,All
95.12963096,64.34269056,2.14,31,1,Summer,All
94.65690877,53.2960583,1.86,257,1,Summer,All
93.83790232,45.7799438,2.92,210,1,Summer,All
93.88852688,48.21339626,2.38,189,1,Summer,All
94.64153528,50.72130485,1.77,249,1,Summer,All
95.05401492,53.79800898,2.53,242,1,Summer,All
95.23250239,57.0661679,1.7,272,1,Summer,All
95.65621754,60.82168641,1.75,260,1,Summer,All
96.13157599,64.88092227,4.54,282,2,Summer,All
96.18295781,68.86794949,1.45,257,2,Summer,All
96.3532744,72.92418835,6.5,274,2,Summer,All
96.40472941,77.04590976,2.23,242,2,Summer,All
96.46080893,81.21040539,7.06,277,2,Summer,All
96.51229944,86.58281144,1.34,270,2,Summer,All
96.56380696,91.67015882,2.81,256,2,Summer,All
96.61533148,96.55587075,1.68,39,2,Summer,All
96.66687301,101.6321276,5.89,263,3,Summer,All
96.74862887,106.8384788,1.42,238,2,Summer,All
96.80021441,112.0868042,1.96,226,2,Summer,All
96.42283686,116.5799949,4.2,250,3,Summer,All
95.47767679,120.5555107,2.03,242,2,Summer,All
94.87721043,124.3533459,1.88,278,2,Summer,All
94.83302919,128.5795922,3,274,2,Summer,All
94.79530347,132.7187945,1.94,213,2,Summer,All
94.443278,136.3981318,1.9,355,2,Summer,All
94.21011832,140.0443084,1.49,190,2,Summer,All
94.05885503,143.5787463,3.13,224,2,Summer,All
94.96868614,147.3050372,2.72,255,2,Summer,All
96.58685208,151.3853667,1.85,170,3,Summer,All
97.17533358,155.9703509,2.79,345,3,Summer,All
97.33033496,161.3020069,6,337,4,Summer,All
97.38211255,166.5409969,3.45,255,4,Summer,All
97.43390723,171.7515542,1.75,346,3,Summer,All
97.39830062,176.7430797,2.12,276,3,Summer,All
95.98889679,180.5995823,2.5,251,3,Summer,All
94.73325992,183.7771303,2.09,221,2,Summer,All
93.87922604,186.8487629,2.66,246,2,Summer,All
93.63853591,189.9248603,1.4,282,2,Summer,All
93.68909465,193.4710919,3.3,262,2,Summer,All
93.73967008,197.352535,1.6,202,2,Summer,All
94.22009216,201.5282782,1.58,232,2,Summer,All
94.62643476,205.8980492,1.82,202,2,Summer,All
94.6891147,210.404705,2.25,84,2,Summer,All
94.81563492,214.9959738,1.45,241,2,Summer,All
95.47418893,164.8737489,1.01,226,2,Summer,All
96.45379474,169.02932,1.73,246,3,Summer,All
96.58037417,173.1471823,2.06,245,3,Summer,All
96.57126301,149.7962131,1.16,267,3,Summer,All
95.90290242,134.5542458,3.94,190,3,Summer,All
94.4210299,138.1489207,1.94,220,2,Summer,All
93.69627962,141.6441503,1.96,251,2,Summer,All
93.45199568,145.0253294,1.36,103,2,Summer,All
93.50249283,148.556443,1.53,230,2,Summer,All
93.55300666,152.2190587,0.54,12,2,Summer,All
93.60353716,155.9437106,2.37,224,2,Summer,All
94.06051815,159.8462456,1.12,208,2,Summer,All
94.48788271,152.2212005,2.25,218,2,Summer,All
94.7030075,156.4329195,0.91,62,2,Summer,All
94.75391767,160.5827478,3.53,76,2,Summer,All
94.80484466,164.8149061,1.81,236,2,Summer,All
94.85578845,168.9818487,0.41,72,2,Summer,All
94.90674907,173.1764663,1.66,311,2,Summer,All
94.59484652,177.1434595,2.1,62,2,Summer,All
94.23597712,180.9692513,1.79,213,2,Summer,All
93.94085036,184.7822637,1.27,239,2,Summer,All
93.99150891,188.7742776,1.34,236,2,Summer,All
94.04218419,192.4538193,1.92,263,2,Summer,All
94.09287619,196.1357231,0.82,306,2,Summer,All
94.09587862,199.6307502,1.75,155,2,Summer,All
94.02874994,203.0262984,1.4,1,2,Summer,All
94.07943751,206.4458308,0.99,290,2,Summer,All
94.13014181,209.9868915,1.84,321,2,Summer,All
94.43219797,213.657947,1.97,253,2,Summer,All
94.48301874,137.8301194,2.1,241,2,Summer,All
93.71726136,91.7392271,1.38,235,1,Summer,All
92.59605676,71.05837351,2.14,35,1,Summer,All
92.21645045,48.40545344,0.97,267,1,Summer,All
91.92742375,29.25965482,1.96,151,1,Summer,All
90.06265282,17.14145374,1.32,236,1,Summer,All
89.99099634,11.94177965,1.79,199,1,Summer,All
90.04035085,12.66450326,1.64,223,1,Summer,All
90.08972164,9.7129198,1.36,200,1,Summer,All
90.13910874,8.24656962,2.33,257,1,Summer,All
89.91186925,6.613452136,2.96,205,1,Summer,All
89.96119763,7.775834675,1.36,355,1,Summer,All
90.60980757,12.38404546,4.04,281,1,Summer,All
91.4678273,13.55374113,3.33,225,1,Summer,All
91.51766938,18.34513529,2.18,190,1,Summer,All
91.56752792,20.27828661,1.45,251,1,Summer,All
91.49442911,24.32827943,1.9,252,1,Summer,All
91.54427997,28.40440755,1.92,62,1,Summer,All
91.59414729,32.70520573,4.75,55,1,Summer,All
91.64403107,36.88100713,2.68,29,1,Summer,All
91.17099272,36.35649535,4.02,268,1,Summer,All
91.2207368,40.11951066,3.78,321,1,Summer,All
91.27049731,43.84914095,1.64,63,1,Summer,All
91.43783692,47.67468338,1.4,210,1,Summer,All
91.75195245,51.03091976,2.1,323,1,Summer,All
91.80188834,54.32167543,2.87,58,1,Summer,All
91.98124462,57.61460884,2.57,28,1,Summer,All
92.97347117,61.16220445,2.57,287,1,Summer,All
94.04728891,64.7809872,1.34,343,1,Summer,All
94.0979826,68.24981531,1.73,243,1,Summer,All
94.04711966,71.7069871,1.25,247,1,Summer,All
93.6220765,74.88011164,2.23,72,1,Summer,All
93.32002504,77.89247341,1.21,60,1,Summer,All
92.80776414,61.6013989,2.09,229,1,Summer,All
92.64849,64.70435007,1.08,170,1,Summer,All
92.69872187,68.11463121,1.43,54,1,Summer,All
93.82823907,71.95719393,1.06,57,1,Summer,All
94.3028617,75.9477539,3.87,219,1,Fall,All
94.42236524,80.08357584,1.97,245,1,Fall,All
94.47318276,84.08352043,1.82,58,1,Fall,All
94.61174613,87.95916412,5.07,243,2,Fall,All
94.66262617,91.78317904,1.94,243,2,Fall,All
94.71352302,95.35789669,1.04,237,2,Fall,All
94.27595347,98.5801645,2.52,11,2,Fall,All
94.01277427,101.7523556,1.56,57,2,Fall,All
93.03171711,79.68237133,0.54,251,1,Fall,All
92.11044902,76.18653514,4.62,71,1,Fall,All
92.16050326,67.16906708,1.36,62,1,Fall,All
92.20645742,70.16583097,1.42,29,1,Fall,All
92.25654336,72.83233383,1.45,355,1,Fall,All
92.30664583,75.13592047,4.15,332,1,Fall,All
93.05884415,77.52589729,6.76,250,1,Fall,All
93.56213855,80.07039461,2.89,247,1,Fall,All
93.63553155,83.02576543,2.46,233,1,Fall,All
93.6860893,85.61131908,1.17,259,1,Fall,All
93.6552848,88.20868977,1.27,60,1,Fall,All
92.71692938,90.37329477,1.7,262,1,Fall,All
92.24358461,92.56480679,1.51,192,1,Fall,All
92.24637058,94.85825683,1.6,64,1,Fall,All
91.68380942,96.87548619,1.23,218,1,Fall,All
90.56063123,98.41750736,1.36,46,1,Fall,All
90.54847517,100.033628,1.64,240,1,Fall,All
90.55988152,101.575355,1.32,35,1,Fall,All
90.60942384,103.0298888,1.62,51,1,Fall,All
92.01514492,104.4555656,0.82,244,1,Fall,All
92.45114733,105.9245989,1.73,156,1,Fall,All
92.50131406,107.4625523,1.86,81,1,Fall,All
92.55149734,108.8554555,2.14,3,1,Fall,All
92.58263056,110.1204443,0.91,221,1,Fall,All
92.30304234,110.8522189,1.38,37,1,Fall,All
